voter,Conference,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean
dylan-sinn,acc,-0.07087508090614887,0.021448543689320386,-0.1369242718446602,-0.3973135922330097,-0.34976375404530746,-0.39552168284789646,-0.3915692556634304,-0.32899352750809063,-0.40296407766990294,-5.252427184466019,-18.731637540453075
dylan-sinn,mac,-0.3798056818181818,-0.46650568181818186,-0.21755113636363638,-0.9465443181818182,-0.9809215909090909,-0.7293954545454546,-0.9586056818181817,-0.9812931818181817,-0.7436045454545455,-8.602272727272727,-30.936420454545456
dylan-sinn,big-12,0.01323645569620253,0.030130886075949367,0.039489113924050634,-0.15746886075949365,-0.15531518987341772,-0.10198075949367089,-0.1504832911392405,-0.14551696202531644,-0.09678101265822785,6.10632911392405,-9.752303797468354
dylan-sinn,big-ten,-0.017332887700534757,-0.012508823529411758,-0.010978877005347595,-0.18622326203208556,-0.15296604278074866,-0.14175294117647058,-0.18088957219251336,-0.14904465240641712,-0.13542566844919787,-1.9304812834224598,-16.57487700534759
dylan-sinn,american,0.0065181818181818205,0.02263397129186603,-0.019987081339712918,-0.1437038277511962,-0.08138851674641148,-0.1567980861244019,-0.14094066985645934,-0.078488995215311,-0.16179904306220097,-1.5311004784688995,-14.203129186602869
dylan-sinn,pac-12,-0.0010027777777777795,-0.017417013888888888,-0.011549652777777778,-0.1183625,-0.10335,-0.10077569444444444,-0.11349652777777777,-0.096646875,-0.09716736111111111,0.71875,-10.547
dylan-sinn,mwc,-0.028305217391304347,-0.04614173913043478,-0.030864347826086956,-0.05118347826086957,-0.039550434782608695,-0.06103478260869565,-0.06043739130434783,-0.05067130434782608,-0.0665095652173913,-2.4782608695652173,-5.4598
eric-hansen,sun-belt,0.0065222222222222305,-0.013474444444444443,-0.05065333333333333,-0.031745555555555555,0.004938888888888894,-0.10832666666666667,-0.03281666666666667,-0.004557777777777781,-0.10485555555555555,-5.222222222222222,-10.542022222222222
garry-smits,sun-belt,-0.1079,0.0,-0.1079,-0.019822222222222224,0.0,-0.019822222222222224,-0.03772222222222222,0.0,-0.03772222222222222,-5.0,-0.16111111111111107
grace-raynor,sun-belt,-0.0892111111111111,0.0,-0.0892111111111111,-0.004688888888888889,0.0,-0.004688888888888889,-0.0144,0.0,-0.0144,-3.5555555555555554,-0.27222222222222225
jim-alexander,sec,0.08437142857142857,0.05765,0.08369107142857143,-0.4183017857142857,-0.4790732142857143,-0.34469464285714285,-0.40362321428571424,-0.44907946428571427,-0.3433160714285714,7.5625,-14.876339285714286
jim-alexander,acc,-0.17030632911392404,-0.28358607594936713,-0.07988227848101266,-0.42766329113924056,-0.518353164556962,-0.33028987341772154,-0.41973797468354435,-0.5075620253164557,-0.32551139240506327,-12.949367088607595,-21.79453164556962
