voter,conference,bias1-a,bias1-b,bias1-c,bias2-a,bias2-b,bias2-c,bias3-a,bias3-b,bias3-c,bias0-ap,bias0-mean,n
josh-furlong,big-ten,0.5523103748910201,0.5632083696599826,0.37401918047079336,0.41020052310374894,0.44071490845684397,0.33478639930252835,0.4184829991281604,0.45422842197035745,0.34088927637314737,0.42981691368788144,0.24760244115082825,0.9067131647776809
josh-furlong,american,0.8849171752397559,0.7846556233653008,0.8482999128160419,0.7606800348735833,0.7223190932868352,0.6408020924149956,0.7881429816913688,0.7506538796861377,0.6373147340889277,0.8993025283347864,0.7606800348735833,0.8003487358326068
josh-furlong,mwc,0.21708805579773321,0.539232781168265,0.13251961639058413,0.7872711421098518,0.8125544899738448,0.6787271142109852,0.7837837837837838,0.8156059285091544,0.6591107236268526,0.32432432432432434,0.7741935483870968,0.6124673060156931
josh-furlong,sun-belt,0.9315605928509154,0.8448125544899738,0.9489973844812555,0.9298169136878814,0.9616390584132519,0.9498692240627724,0.9507410636442895,0.9612031386224935,0.959895379250218,0.9524847428073234,0.9210985178727115,0.5455536181342633
mark-whicker,acc,0.6155187445510026,0.8570183086312119,0.31037489102005233,0.25544899738448124,0.12685265911072363,0.37881429816913686,0.23975588491717523,0.14036617262423715,0.3086312118570183,0.27070619006102875,0.5501307759372276,0.3489537925021796
mark-whicker,sec,0.8400174367916303,0.7292938099389712,0.9341761115954664,0.042284219703574544,0.043156059285091544,0.03443766346992153,0.047079337401918046,0.045771578029642546,0.036181342632955533,0.5941586748038361,0.018744551002615517,0.5455536181342633
mark-whicker,mac,0.96512641673932,0.9969485614646905,0.010462074978204011,0.03400174367916303,0.993897122929381,0.0017436791630340018,0.03530950305143853,0.9978204010462075,0.0017436791630340018,0.9945510026155188,0.6634699215344376,0.1305579773321709
mark-whicker,big-12,0.03095030514385353,0.015257192676547515,0.08456843940714909,0.25326939843068874,0.15823888404533565,0.3456843940714908,0.2262423714036617,0.13426329555361813,0.3073234524847428,0.05492589363557106,0.13775065387968613,0.5455536181342633
mark-whicker,pac-12,0.8439407149084568,0.8862249346120313,0.7436791630340017,0.7048823016564952,0.7079337401918047,0.6512641673931997,0.7218831734960767,0.7188317349607672,0.6817785527462947,0.9363557105492589,0.7092414995640802,0.5507846556233653
mark-whicker,big-ten,0.7088055797733217,0.5204882301656495,0.7846556233653008,0.6251089799476897,0.541848299912816,0.5727986050566696,0.6551874455100262,0.560156931124673,0.597646033129904,0.9272013949433304,0.4045335658238884,0.5595030514385353
mark-whicker,american,0.14559721011333915,0.11682650392327812,0.15431560592850915,0.6111595466434177,0.6360069747166521,0.5353095030514385,0.6006974716652136,0.6285963382737576,0.500871839581517,0.024847428073234524,0.12380122057541412,0.41390584132519614
mark-whicker,mwc,0.19572798605056668,0.08064516129032258,0.454664341761116,0.5823888404533566,0.3918918918918919,0.6739319965126417,0.5475152571926766,0.3779424585876199,0.6416739319965127,0.04838709677419355,0.02789886660854403,0.17959895379250218
mark-whicker,sun-belt,0.7480383609415867,0.6098517872711421,0.7554489973844812,0.8679163034001743,0.8799040976460332,0.7820401046207498,0.8753269398430689,0.9017000871839581,0.7816041848299913,0.8119006102877071,0.8007846556233653,0.1305579773321709
matt-mccoy,sun-belt,0.9498692240627724,0.6098517872711421,0.9463818657367045,0.9503051438535309,0.8799040976460332,0.95640802092415,0.9590235396687009,0.9017000871839581,0.960767218831735,0.9832170880557978,0.977332170880558,0.1305579773321709
michael-lev,sun-belt,0.7371403661726242,0.496512641673932,0.502615518744551,0.8696599825632084,0.9132519616390584,0.6996512641673932,0.8853530950305144,0.8395815170008718,0.7153443766346992,0.44594594594594594,0.7271142109851787,0.5636442894507411
nate-mink,acc,0.3099389712292938,0.6691368788142982,0.15257192676547515,0.21970357454228423,0.2070619006102877,0.1944202266782912,0.2118570183086312,0.2092414995640802,0.18308631211857018,0.42763731473408895,0.3666085440278989,0.8517872711421098
nate-mink,sec,0.472101133391456,0.5039232781168265,0.36094158674803833,0.07890148212728858,0.1046207497820401,0.04882301656495205,0.07410636442894507,0.1028770706190061,0.044463818657367045,0.2933740191804708,0.07454228421970358,0.9173931996512642
nate-mink,mac,0.0945945945945946,0.022667829119442023,0.34655623365300786,0.025719267654751524,0.03138622493461203,0.017436791630340016,0.023539668700959023,0.02877070619006103,0.016129032258064516,0.1791630340017437,0.017000871839581516,0.40475152571926765
nate-mink,big-12,0.32781168265039234,0.3121185701830863,0.34481255448997383,0.45858761987794244,0.4115082824760244,0.45422842197035745,0.45727986050566694,0.4110723626852659,0.44812554489973844,0.26285963382737576,0.3134263295553618,0.8914559721011334
nate-mink,big-ten,0.8622493461203139,0.9446381865736705,0.6939843068875327,0.6643417611159547,0.7162162162162162,0.497384481255449,0.6904969485614647,0.7654751525719268,0.507846556233653,0.8530950305143854,0.5405405405405406,0.8729293809938972
nate-mink,pac-12,0.4141238012205754,0.2933740191804708,0.5204882301656495,0.525283347863993,0.48430688753269396,0.48081952920662596,0.530514385353095,0.492153443766347,0.4952048823016565,0.27768090671316475,0.21316477768090672,0.8317349607672189
nate-mink,american,0.8230165649520488,0.5540540540540541,0.8439407149084568,0.7484742807323452,0.6756756756756757,0.6726242371403661,0.7619877942458587,0.6935483870967742,0.6748038360941587,0.3953792502179599,0.576721883173496,0.7707061900610288
nate-mink,mwc,0.6987794245858762,0.7236268526591108,0.7999128160418483,0.8997384481255449,0.7672188317349607,0.9472537053182214,0.8988666085440279,0.7977332170880558,0.9394071490845685,0.8605056669572798,0.8718395815170009,0.4084568439407149
nate-mink,sun-belt,0.6211857018308631,0.13862249346120314,0.8679163034001743,0.8687881429816914,0.6704446381865736,0.9411508282476024,0.8875326939843069,0.6460331299040977,0.955536181342633,0.6442894507410637,0.8020924149956408,0.5636442894507411
nathan-baird,acc,0.6695727986050567,0.8469921534437663,0.33958151700087186,0.36006974716652135,0.32083696599825634,0.32563208369659985,0.35876198779424584,0.3134263295553618,0.3260680034873583,0.6438535309503052,0.5361813426329556,0.8561464690496948
nathan-baird,sec,0.8382737576285963,0.7502179598953792,0.9154315605928509,0.13164777680906714,0.12510897994768963,0.12816041848299914,0.13164777680906714,0.12510897994768963,0.12554489973844812,0.4093286835222319,0.12816041848299914,0.9206625980819529
nathan-baird,mac,0.002179598953792502,0.0017436791630340018,0.003051438535309503,0.0026155187445510027,0.003051438535309503,0.002179598953792502,0.002179598953792502,0.0017436791630340018,0.002179598953792502,0.1046207497820401,0.01918047079337402,0.4293809938971229
