season,week,bias1_mean,bias1_std,bias2_mean,bias2_std,bias3_mean,bias3_std,bias0_ap_mean,bias0_ap_std,bias0_mean_mean,bias0_mean_std
2022,13,-0.4941,18.444,-31.4965,45.3842,-30.2957,44.9189,-0.1214,2.1163,-1.7439,1.9952
2022,14,-0.84,18.5722,-31.503,46.087,-30.5192,45.1907,-0.1944,2.0886,-1.769,1.9094
2022,15,-0.4863,21.1211,-31.8877,46.003,-31.4894,45.7669,-0.1202,2.0428,-1.7765,1.8541
2022,16,-0.9214,26.0832,-32.6129,48.844,-31.8262,48.3427,-0.1679,2.3454,-1.7655,1.9828
2023,1,-1.6035,31.2927,-33.89,54.1953,-32.9874,53.3714,-0.3359,2.7189,-1.6961,2.3509
2023,2,-1.0082,32.5019,-34.1413,56.4732,-31.8785,53.6527,-0.1427,2.7916,-1.6758,2.5373
2023,3,-0.63,32.7104,-34.5883,58.2559,-31.9711,53.6431,-0.1105,2.3268,-1.7639,2.1859
2023,4,-0.8346,35.8899,-34.7853,59.9419,-33.453,57.2264,-0.1593,2.3953,-1.7299,2.2022
2023,5,-1.1462,44.2721,-35.5348,65.2028,-31.508,60.8483,-0.1781,2.0194,-1.7655,1.8656
2023,6,-0.6033,50.57,-37.2313,74.3406,-33.8693,67.3833,-0.1371,2.0594,-1.7647,1.9215
2023,7,-0.8069,32.8694,-34.286,59.4645,-33.2702,55.2003,-0.1632,2.1172,-1.7402,1.9193
2023,8,-0.4954,41.0982,-35.4768,65.0149,-33.8407,60.4838,-0.1055,1.8027,-1.8017,1.6906
2023,9,-0.267,35.0954,-33.8289,61.2599,-32.5475,56.1692,-0.0951,1.8857,-1.7306,1.7875
2023,10,-0.6701,30.4345,-33.0428,56.9788,-31.6141,53.3764,-0.1308,1.9159,-1.737,1.8003
2023,11,-0.7261,28.6355,-32.9569,56.0815,-31.5228,52.3635,-0.1497,2.0952,-1.7476,1.9144
2023,12,-0.754,24.4238,-31.985,51.6901,-31.2469,48.3234,-0.1885,2.2784,-1.6851,1.9959
2023,13,-0.8728,19.5941,-31.67,47.0347,-32.5397,48.5449,-0.1948,1.7302,-1.7933,1.5584
2023,14,-0.7295,19.2303,-31.4315,48.2471,-30.934,46.4972,-0.1568,1.8497,-1.7418,1.6577
2023,15,-0.765,21.688,-31.3731,48.9256,-30.4271,47.6788,-0.1768,2.08,-1.7053,1.8131
2023,16,-1.5444,21.1452,-31.4212,46.5233,-30.6568,46.411,-0.3053,2.1681,-1.7037,1.8364
2024,1,-1.7203,33.9778,-34.5577,57.3531,-33.7376,54.3979,-0.3111,2.8582,-1.6852,2.6169
2024,2,-1.4842,33.7174,-34.1166,55.8446,-33.5645,54.1228,-0.2302,2.5679,-1.7095,2.3313
2024,3,-1.6617,33.0421,-33.3382,54.134,-33.8223,53.1406,-0.292,2.7252,-1.6749,2.3479
2024,4,-1.1792,35.2707,-34.3617,60.0695,-32.6631,56.8506,-0.2583,2.3153,-1.7192,2.0748
2024,5,-1.29,32.3584,-33.7476,58.053,-32.0181,54.308,-0.2418,2.4749,-1.702,2.229
