season,team,bias1_mean,bias1_std,bias2_mean,bias2_std,bias3_mean,bias3_std
2017,michigan-state-spartans,-0.0534,0.1807,-0.127,0.1858,-0.1349,0.1839
2017,michigan-wolverines,0.001,0.2602,-0.2087,0.3006,-0.1702,0.2785
2017,minnesota-golden-gophers,-0.1304,,-0.087,,-0.087,
2017,mississippi-state-bulldogs,-0.0133,0.1799,-0.098,0.1887,-0.098,0.1905
2017,missouri-tigers,-0.1304,0.0,-0.087,0.0,-0.087,0.0
2017,navy-midshipmen,-0.0409,0.0411,-0.0333,0.0408,-0.0409,0.0411
2017,nebraska-cornhuskers,-0.0852,0.0639,-0.0435,0.0615,-0.0435,0.0615
2017,north-carolina-state-wolfpack,-0.0476,0.1392,-0.0855,0.1294,-0.1001,0.1297
2017,northwestern-wildcats,-0.0475,0.1357,-0.0924,0.1375,-0.1104,0.1406
2017,notre-dame-fighting-irish,-0.0041,0.4094,-0.2512,0.3979,-0.2321,0.3825
2017,ohio-state-buckeyes,0.0626,0.3506,-0.4139,0.4397,-0.4024,0.4415
2017,oklahoma-sooners,-0.0379,0.4337,-0.6935,0.69,-0.643,0.684
2017,oklahoma-state-cowboys,0.0228,0.2952,-0.2127,0.3323,-0.1983,0.326
2017,oregon-ducks,-0.1456,0.1314,-0.0431,0.1194,-0.0567,0.1193
2017,penn-state-nittany-lions,0.0441,0.3089,-0.454,0.4032,-0.3748,0.3633
2017,pittsburgh-panthers,-0.1299,0.0848,-0.0423,0.079,-0.0423,0.079
2017,san-diego-state-aztecs,-0.0297,0.1465,-0.081,0.1445,-0.1027,0.1497
2017,south-carolina-gamecocks,-0.1522,0.1175,-0.0326,0.0909,-0.0308,0.0927
2017,south-florida-bulls,-0.0398,0.2092,-0.1019,0.2091,-0.1178,0.2109
2017,stanford-cardinal,-0.0063,0.1679,-0.1122,0.1724,-0.1027,0.175
2017,tcu-horned-frogs,0.0229,0.239,-0.2605,0.2984,-0.2231,0.2846
2017,tennessee-volunteers,-0.0946,0.1326,-0.0446,0.1248,-0.0648,0.128
2017,texas-am-aggies,-0.1051,0.0584,-0.0403,0.0527,-0.0516,0.0525
2017,texas-longhorns,-0.1322,0.2862,-0.0725,0.2738,-0.0806,0.2754
2017,texas-tech-red-raiders,-0.0724,0.1051,-0.0473,0.0813,-0.0663,0.0837
2017,toledo-rockets,-0.0927,0.0576,-0.0331,0.0531,-0.0434,0.0554
2017,troy-trojans,-0.101,0.0566,-0.0445,0.0538,-0.0587,0.0544
2017,tulsa-golden-hurricane,-0.1818,,-0.0909,,-0.0909,
2017,ucf-knights,-0.0991,0.4824,-0.2361,0.6072,-0.2472,0.6481
2017,ucla-bruins,-0.1678,0.1351,-0.0457,0.1218,-0.0556,0.1223
2017,usc-trojans,-0.0175,0.3653,-0.3188,0.4904,-0.2908,0.4618
2017,utah-utes,-0.0933,0.1643,-0.0699,0.1499,-0.0949,0.1522
2017,vanderbilt-commodores,-0.125,0.0859,-0.0352,0.0798,-0.038,0.0799
2017,virginia-cavaliers,-0.1023,0.0708,-0.0348,0.0623,-0.0348,0.0623
2017,virginia-tech-hokies,-0.0147,0.1607,-0.1297,0.1624,-0.128,0.1643
2017,wake-forest-demon-deacons,-0.0734,0.0431,-0.0322,0.0415,-0.0322,0.0415
2017,washington-huskies,0.0105,0.3019,-0.2792,0.3424,-0.2516,0.3364
2017,washington-state-cougars,-0.0177,0.1853,-0.1349,0.1923,-0.1329,0.1912
2017,west-virginia-mountaineers,-0.0832,0.1494,-0.0594,0.1306,-0.0851,0.1357
2017,wisconsin-badgers,-0.0281,0.4644,-0.4502,0.5951,-0.4632,0.62
2018,alabama-crimson-tide,0.058,0.262,-1.9096,0.4178,-1.8573,0.4137
2018,appalachian-state-mountaineers,-0.1262,0.094,-0.0427,0.0826,-0.0573,0.0831
2018,arizona-state-sun-devils,-0.0593,0.1484,-0.024,0.1408,-0.0262,0.1409
2018,arizona-wildcats,-0.1793,0.1934,0.0446,0.1671,0.1203,0.167
2018,army-west-point-black-knights,-0.0598,0.2324,-0.0634,0.2388,-0.0851,0.2448
2018,auburn-tigers,-0.0554,0.3426,-0.2655,0.3497,-0.2681,0.3578
2018,boise-state-broncos,-0.0568,0.1763,-0.0826,0.1729,-0.1026,0.1779
2018,boston-college-eagles,-0.0707,0.1822,-0.0892,0.1795,-0.1164,0.1869
2018,buffalo-bulls,-0.1186,0.116,0.0488,0.1198,0.0488,0.1198
2018,byu-cougars,-0.0381,0.1652,-0.0745,0.1367,-0.0941,0.138
2018,california-golden-bears,-0.2055,0.1743,-0.0473,0.158,-0.069,0.1594
2018,cincinnati-bearcats,-0.1097,0.1942,-0.06,0.1791,-0.0951,0.1869
2018,clemson-tigers,0.0085,0.3787,-1.0227,0.6572,-0.98,0.6671
2018,colorado-buffaloes,-0.0616,0.1868,-0.0803,0.1776,-0.0946,0.1773
2018,duke-blue-devils,-0.1032,0.132,-0.0568,0.1247,-0.0684,0.1259
2018,florida-atlantic-owls,-0.141,0.1449,-0.006,0.1307,-0.0295,0.1323
